item_id,item_name,sheet_on_hand,counted_qty,variance_vs_sheet,db_on_hand_before_upload
43,"12"" FLOUR TORTILLA",5.5,4.0,-1.5,5.5
42,"4.5"" CORN TORTILLA",3.0,3.0,0.0,3.0
44,"6"" FLOUR TORTILLA",1.0,1.0,0.0,1.0
161,ANTIPASTA SKEWER,1.0,1.0,0.0,1.0
31,APPLE CIDER VINEGAR,18.5,18.5,0.0,18.5
62,ARTICHOKE HEARTS,11.0,11.0,0.0,11.0
130,ASSORTED MINI CUPCAKES,0.0,1.0,1.0,0.0
202,Ancho Paste,5.5,5.5,0.0,5.5
211,BACON BIT CKD,1.0,1.0,0.0,1.0
160,BACON LAYFLAT,1.0,0.0,-1.0,1.0
28,BADIA CRUSHED RED PEPPER,1.0,1.0,0.0,1.0
29,BADIA GRANULATED GARLIC,3.75,3.75,0.0,3.75
30,BADIA ONION POWDER,4.0,4.0,0.0,4.0
154,BAGUETTE,0.5,1.5,1.0,0.5
124,BEEF ROUND STEAK,55.0,40.0,-15.0,55.0
170,BEEF WELLINGTON,2.0,1.0,-1.0,2.0
146,"BEEF, RIBEYE LIPON",52.0,52.0,0.0,52.0
162,BEER CHEESE DIP,2.0,2.0,0.0,2.0
159,"BISCUITS, PRECOOKED",0.0,0.0,0.0,0.0
76,BLACK BEANS,2.0,1.0,-1.0,2.0
73,BLACK EYED PEAS,4.0,4.0,0.0,4.0
26,"BLACK PEPPER, GROUND, 5LB",6.0,5.5,-0.5,6.0
10,BLACK SESAME SEEDS,1.0,1.0,0.0,1.0
129,BRATWURST,2.0,2.0,0.0,2.0
155,"BREAD, PANINI",1.0,1.0,0.0,1.0
174,BRISKET SAUSAGE,1.0,1.0,0.0,1.0
157,BURGER BUN,2.0,2.0,0.0,2.0
183,"BUTTER, CLARIFIED",2.0,3.0,1.0,2.0
184,"BUTTER, UNSALTED",2.0,59.0,57.0,2.0
182,"BUTTER, WHIPPED",0.0,2.0,2.0,0.0
131,Beef Chili,1.0,1.0,0.0,1.0
125,"Beef, 2oz Patty",2.0,2.0,0.0,2.0
126,"Beef, Flank Steak",25.2,25.2,0.0,25.2
132,"Beef, Tri Tip",120.0,120.0,0.0,120.0
214,"Bun, Hot dog",3.0,3.0,0.0,3.0
23,CAJUN SEASONING,1.0,1.0,0.0,1.0
94,"CANNOLI SHELL, LARGE",0.0,2.0,2.0,0.0
37,CATTLEMANS GOLD BBQ,0.75,0.75,0.0,0.75
120,CHEDDAR CHEESE SAUCE,0.0,0.0,0.0,0.0
165,CHEDDAR SAUSAGE,0.0,0.0,0.0,0.0
208,"CHEESE, CHEDDAR SLICED",2.5,1.5,-1.0,2.5
195,"CHEESE, GOAT CRUMBLED",0.0,0.0,0.0,0.0
209,"CHEESE, GOUDA SLICE",1.0,0.0,-1.0,1.0
206,"CHEESE, PEPPERJACK SLICE",3.0,4.0,1.0,3.0
210,"CHEESE, VELVEETA",4.0,4.0,0.0,4.0
128,CHICKEN-APPLE SAUSAGE,0.75,0.75,0.0,0.75
92,CHIPOTLE IN ADOBO,43.0,42.0,-1.0,43.0
95,CHOCOLATE SHAVINGS,3.0,3.0,0.0,3.0
96,CHOCOLATE SPRINKES,4.0,4.0,0.0,4.0
158,CHOPPED SPINACH,3.0,3.0,0.0,3.0
141,CINNAMON ROLLS,1.0,1.0,0.0,1.0
139,COFFEE CAKE BATTER,2.0,2.0,0.0,2.0
142,"COOKIE, CHOCOLATE CHIP",1.75,1.0,-0.75,1.75
143,"COOKIE, SUGAR",1.75,0.75,-1.0,1.75
145,CORN BREAD,3.0,2.5,-0.5,3.0
55,CORN BREAD MIX,7.0,7.0,0.0,7.0
40,CRISPY ONIONS,1.0,1.0,0.0,1.0
39,CROUTONS,1.0,0.0,-1.0,1.0
17,CURRY POWDER,1.0,1.0,0.0,1.0
205,"Cheese, American",2.25,0.0,-2.25,2.25
207,"Cheese, Mozzarella Shredded",2.0,2.0,0.0,2.0
178,Chicken Wings,3.0,3.0,0.0,3.0
