item_id,item_name,sheet_on_hand,counted_qty,variance_vs_sheet,db_on_hand_before_upload
1073,Pecan Half Med Fcy Raw,1.0,1.0,0.0,1.0
956,"Pepper, Diced Fancy",0.0,0.0,0.0,0.0
889,"Pepper, Roasted Whole",25.0,17.0,-8.0,25.0
1033,Phyllo Shells,4.0,4.0,0.0,4.0
1069,"Pickle, Slice",0.0,0.5,0.5,0.0
1068,"Pickle, Whole Kosher",0.5,0.5,0.0,0.5
1066,Pickled red onion,0.0,0.0,0.0,0.0
1119,Pineapple,1.0,0.0,-1.0,1.0
1095,Potato Pearl Xrich Low Sodium,0.5,0.5,0.0,0.5
1005,RED VELEVT 9-INCH 14 CUT,1.0,1.0,0.0,1.0
1008,RUBEN SPRING ROLLS,1.0,1.0,0.0,1.0
974,Radish Watermelon,0.0,1.0,1.0,0.0
1082,Rice Arborio,1.0,0.0,-1.0,1.0
1094,Rice Parboiled Perfect,3.0,0.0,-3.0,3.0
944,"Rice, Parboiled",3.0,0.0,-3.0,3.0
1044,SALAD POTATO WITH MUSTARD,2.0,6.0,4.0,2.0
1050,SHAVED PARMESAN,0.0,1.0,1.0,0.0
982,SHREDDED CARROT,1.0,0.0,-1.0,1.0
1045,SHREDDED JACK CHEESE,3.0,0.0,-3.0,3.0
981,SHREDDED RED CABBAGE,1.0,0.0,-1.0,1.0
1046,SOUR CREAM,3.0,7.0,4.0,3.0
985,STRAWBERRY,8.0,0.0,-8.0,8.0
998,SWEET STREET BLONDIE,0.0,0.0,0.0,0.0
995,SWEET STREET CARAMEL CAKE,0.0,0.0,0.0,0.0
1000,SWEET STREET DESSERT BAR,2.0,2.0,0.0,2.0
1134,SWEET STREET DESSERT BARS,4.0,0.0,-4.0,4.0
1053,SWISS SLICED CHEESE .5,4.0,4.0,0.0,4.0
1077,Salami Genoa Sli,1.0,3.0,2.0,1.0
958,"Salsa, Fried Roasted",10.0,1.0,-9.0,10.0
933,"Salsa, Green",0.0,0.0,0.0,0.0
932,"Salsa, Red",14.0,0.0,-14.0,14.0
957,"Salsa, Verde",0.0,0.0,0.0,0.0
886,"Salt, Iodized",1.0,1.0,0.0,1.0
885,"Salt, Kosher",4.0,6.5,2.5,4.0
887,"Sauce, Aji Pepper",12.0,12.0,0.0,12.0
1070,"Sauce, Cocktail",5.0,4.0,-1.0,5.0
884,"Sauce, Sweet n Sour",1.75,2.0,0.25,1.75
968,"Seasoning, All Purpose",0.0,0.0,0.0,0.0
895,"Seasoning, Chili Powder, Dark",1.0,0.75,-0.25,1.0
967,"Seasoning, Cinnamon Ground",0.5,0.5,0.0,0.5
902,"Seasoning, Cumin",0.75,0.5,-0.25,0.75
943,"Seasoning, Fruit Tajin",5.0,5.0,0.0,5.0
903,"Seasoning, Garlic Granulated",0.75,0.5,-0.25,0.75
897,"Seasoning, Ground Clove",1.0,1.0,0.0,1.0
905,"Seasoning, Ground Ginger",0.5,0.5,0.0,0.5
899,"Seasoning, Italian",0.25,0.0,-0.25,0.25
966,"Seasoning, Onion Powder",0.0,0.75,0.75,0.0
898,"Seasoning, Oregano Dry",0.5,0.25,-0.25,0.5
896,"Seasoning, Paprika",1.0,0.5,-0.5,1.0
